Snail ID	alive	alive_n	tot_eaten	day
A10	0.413043478	19	46	d1
A11	0.041666667	2	48	d1
A14	0	0	39	d1
A15	0.11627907	5	43	d1
A16	0	0	44	d1
A17	0.021276596	1	47	d1
A23	0	0	42	d1
A8	0	0	54	d1
B6	0.065217391	3	46	d1
B7	0.09375	3	32	d1
B8	0	0	26	d1
A5	0.026315789	1	38	d1
A13	0.368421053	7	19	d1
A12	0	0	11	d1
A19	0	0	54	d1
A20	0.041666667	1	24	d1
A22	0.020408163	1	49	d1
A24	0	0	10	d1
A25	0.045454545	1	22	d1
A10	0	0	46	d2
A11	0.375	18	48	d2
A14	0.256410256	10	39	d2
A15	0.302325581	13	43	d2
A16	0.681818182	30	44	d2
A17	0.042553191	2	47	d2
A23	0.261904762	11	42	d2
A8	0.185185185	10	54	d2
B6	0.108695652	5	46	d2
B7	0.125	4	32	d2
B8	0	0	26	d2
A5	0.157894737	6	38	d2
A13	0.052631579	1	19	d2
A12	0	0	11	d2
A19	0.555555556	30	54	d2
A20	0.041666667	1	24	d2
A22	0.428571429	21	49	d2
A24	0	0	10	d2
A25	0.181818182	4	22	d2
A10	0	0	46	d3
A11	0	0	48	d3
A14	0	0	39	d3
A15	0	0	43	d3
A16	0	0	44	d3
A17	0	0	47	d3
A23	0.023809524	1	42	d3
A8	0	0	54	d3
B6	0	0	46	d3
B7	0	0	32	d3
B8	0	0	26	d3
A5	0	0	38	d3
A13	0	0	19	d3
A12	0	0	11	d3
A19	0.111111111	6	54	d3
A20	0	0	24	d3
A22	0	0	49	d3
A24	0	0	10	d3
A25	0	0	22	d3
A10	0.02173913	1	46	d4
A11	0	0	48	d4
A14	0	0	39	d4
A15	0	0	43	d4
A16	0	0	44	d4
A17	0	0	47	d4
A23	0	0	42	d4
A8	0	0	54	d4
B6	0	0	46	d4
B7	0	0	32	d4
B8	0	0	26	d4
A5	0	0	38	d4
A13	0	0	19	d4
A12	0	0	11	d4
A19	0	0	54	d4
A20	0	0	24	d4
A22	0	0	49	d4
A24	0	0	10	d4
A25	0	0	22	d4

